"cs_high [mm]","dis [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
18,-10,2.4,-0.00767875499884557,-90.1231337248505
18,-10,2.401,-0.00768126807181076,-90.1608181852023
18,-10,2.402,-0.00768378136781993,-90.1985027825731
18,-10,2.403,-0.00768629488686459,-90.2361875169493
18,-10,2.404,-0.00768880862894589,-90.273872388317
18,-10,2.405,-0.0076913225940592,-90.3115573966626
18,-10,2.406,-0.00769383678220086,-90.3492425419721
18,-10,2.407,-0.00769635119337396,-90.3869278242316
18,-10,2.408,-0.0076988658275671,-90.4246132434271
18,-10,2.409,-0.00770138068477951,-90.4622987995445
18,-10,2.41,-0.0077038957650027,-90.4999844925696
18,-10,2.411,-0.00770641106823204,-90.5376703224882
18,-10,2.412,-0.00770892659446194,-90.575356289286
18,-10,2.413,-0.00771144234368292,-90.6130423929487
18,-10,2.414,-0.00771395831588747,-90.6507286334616
18,-10,2.415,-0.00771647451106709,-90.6884150108104
18,-10,2.416,-0.0077189909292104,-90.7261015249805
18,-10,2.417,-0.00772150757031372,-90.7637881759571
18,-10,2.418,-0.0077240244343589,-90.8014749637256
18,-10,2.419,-0.00772654152133747,-90.839161888271
18,-10,2.42,-0.00772905883123513,-90.8768489495786
18,-10,2.421,-0.00773157636404436,-90.9145361476334
18,-10,2.422,-0.0077340941197499,-90.9522234824204
18,-10,2.423,-0.00773661209833651,-90.9899109539243
18,-10,2.424,-0.00773913029979086,-91.0275985621302
18,-10,2.425,-0.00774164872409289,-91.0652863070226
18,-10,2.426,-0.00774416737123506,-91.1029741885864
18,-10,2.427,-0.00774668624119345,-91.1406622068061
18,-10,2.428,-0.00774920533395665,-91.1783503616663
18,-10,2.429,-0.00775172464950459,-91.2160386531513
18,-10,2.43,-0.00775424418781914,-91.2537270812457
18,-10,2.431,-0.00775676394887925,-91.2914156459338
18,-10,2.432,-0.00775928393266869,-91.3291043471997
18,-10,2.433,-0.00776180413916259,-91.3667931850276
18,-10,2.434,-0.00776432456834471,-91.4044821594018
18,-10,2.435,-0.00776684522019209,-91.4421712703061
18,-10,2.436,-0.00776936609468079,-91.4798605177246
18,-10,2.437,-0.00777188719179266,-91.5175499016411
18,-10,2.438,-0.00777440851149799,-91.5552394220395
18,-10,2.439,-0.00777693005377379,-91.5929290789036
18,-10,2.44,-0.00777945181860386,-91.6306188722168
18,-10,2.441,-0.00778197380595171,-91.668308801963
18,-10,2.442,-0.00778449601579823,-91.7059988681256
18,-10,2.443,-0.00778701844811369,-91.743689070688
18,-10,2.444,-0.00778954110287126,-91.7813794096337
18,-10,2.445,-0.00779206398004701,-91.819069884946
18,-10,2.446,-0.00779458707960637,-91.8567604966081
18,-10,2.447,-0.00779711040152349,-91.8944512446031
18,-10,2.448,-0.00779963394576864,-91.9321421289142
18,-10,2.449,-0.00780215771231113,-91.9698331495244
18,-10,2.45,-0.00780468170112411,-92.0075243064167
18,-10,2.451,-0.00780720591216822,-92.0452155995739
18,-10,2.452,-0.00780973034541758,-92.0829070289788
18,-10,2.453,-0.00781225500083475,-92.1205985946142
18,-10,2.454,-0.0078147798783929,-92.1582902964627
18,-10,2.455,-0.00781730497805265,-92.1959821345069
18,-10,2.456,-0.00781983029978136,-92.2336741087294
18,-10,2.457,-0.00782235584354353,-92.2713662191126
18,-10,2.458,-0.00782488160930267,-92.3090584656389
18,-10,2.459,-0.00782740759702423,-92.3467508482906
18,-10,2.46,-0.00782993380666785,-92.3844433670499
18,-10,2.461,-0.00783246023820189,-92.422136021899
18,-10,2.462,-0.00783498689158118,-92.4598288128199
18,-10,2.463,-0.00783751376677115,-92.4975217397948
18,-10,2.464,-0.00784004086372953,-92.5352148028054
18,-10,2.465,-0.00784256818242178,-92.5729080018338
18,-10,2.466,-0.00784509572280271,-92.6106013368617
18,-10,2.467,-0.00784762348483005,-92.6482948078709
18,-10,2.468,-0.0078501514684654,-92.685988414843
18,-10,2.469,-0.00785267967366453,-92.7236821577595
18,-10,2.47,-0.00785520810038325,-92.7613760366021
18,-10,2.471,-0.00785773674858025,-92.7990700513522
18,-10,2.472,-0.00786026561821229,-92.836764201991
18,-10,2.473,-0.00786279470923032,-92.8744584885001
18,-10,2.474,-0.00786532402159016,-92.9121529108604
18,-10,2.475,-0.00786785355524952,-92.9498474690533
18,-10,2.476,-0.00787038331015936,-92.9875421630598
18,-10,2.477,-0.00787291328627163,-93.025236992861
18,-10,2.478,-0.00787544348353825,-93.0629319584377
18,-10,2.479,-0.00787797390191213,-93.1006270597708
18,-10,2.48,-0.00788050454134423,-93.1383222968412
18,-10,2.481,-0.00788303540178165,-93.1760176696295
18,-10,2.482,-0.00788556648318213,-93.2137131781165
18,-10,2.483,-0.00788809778548794,-93.2514088222827
18,-10,2.484,-0.00789062930864908,-93.2891046021086
18,-10,2.485,-0.00789316105261363,-93.3268005175747
18,-10,2.486,-0.00789569301732967,-93.3644965686613
18,-10,2.487,-0.00789822520274525,-93.4021927553488
18,-10,2.488,-0.00790075760880556,-93.4398890776173
18,-10,2.489,-0.00790329023545673,-93.4775855354471
18,-10,2.49,-0.00790582308264299,-93.5152821288182
18,-10,2.491,-0.00790835615031142,-93.5529788577106
18,-10,2.492,-0.00791088943840047,-93.5906757221042
18,-10,2.493,-0.00791342294685915,-93.628372721979
18,-10,2.494,-0.00791595667562783,-93.6660698573148
18,-10,2.495,-0.00791849062465071,-93.7037671280912
18,-10,2.496,-0.00792102479386428,-93.7414645342879
18,-10,2.497,-0.00792355918321564,-93.7791620758845
18,-10,2.498,-0.00792609379264129,-93.8168597528606
18,-10,2.499,-0.00792862862208351,-93.8545575651955
18,-10,2.5,-0.00793116367148071,-93.8922555128687
18,-10,2.501,-0.00793369894077228,-93.9299535958593
18,-10,2.502,-0.00793623442989857,-93.9676518141468
18,-10,2.503,-0.0079387701387893,-94.0053501677102
18,-10,2.504,-0.00794130606739063,-94.0430486565286
18,-10,2.505,-0.00794384221563518,-94.080747280581
18,-10,2.506,-0.0079463785834575,-94.1184460398464
18,-10,2.507,-0.00794891517079601,-94.1561449343036
18,-10,2.508,-0.00795145197758046,-94.1938439639315
18,-10,2.509,-0.00795398900375214,-94.2315431287087
18,-10,2.51,-0.00795652624924176,-94.269242428614
18,-10,2.511,-0.00795906371397809,-94.3069418636259
18,-10,2.512,-0.00796160139789953,-94.3446414337229
18,-10,2.513,-0.00796413930093583,-94.3823411388835
18,-10,2.514,-0.00796667742301672,-94.420040979086
18,-10,2.515,-0.00796921576407481,-94.4577409543088
18,-10,2.516,-0.00797175432404275,-94.4954410645302
18,-10,2.517,-0.00797429310284639,-94.5331413097281
18,-10,2.518,-0.00797683210041741,-94.5708416898808
18,-10,2.519,-0.00797937131668166,-94.6085422049662
18,-10,2.52,-0.00798191075156793,-94.6462428549624
18,-10,2.521,-0.00798445040500303,-94.6839436398471
18,-10,2.522,-0.00798699027691767,-94.7216445595982
18,-10,2.523,-0.00798953036723482,-94.7593456141934
18,-10,2.524,-0.00799207067588326,-94.7970468036105
18,-10,2.525,-0.00799461120278497,-94.8347481278269
18,-10,2.526,-0.00799715194786488,-94.8724495868202
18,-10,2.527,-0.00799969291104788,-94.9101511805678
18,-10,2.528,-0.00800223409225985,-94.9478529090471
18,-10,2.529,-0.00800477549142086,-94.9855547722356
18,-10,2.53,-0.00800731710845196,-95.0232567701102
18,-10,2.531,-0.00800985894327901,-95.0609589026483
18,-10,2.532,-0.00801240099582402,-95.098661169827
18,-10,2.533,-0.00801494326600033,-95.1363635716232
18,-10,2.534,-0.00801748575373861,-95.1740661080139
18,-10,2.535,-0.00802002845894929,-95.211768778976
18,-10,2.536,-0.00802257138156019,-95.2494715844863
18,-10,2.537,-0.00802511452148171,-95.2871745245216
18,-10,2.538,-0.0080276578786378,-95.3248775990585
18,-10,2.539,-0.00803020145294371,-95.3625808080736
18,-10,2.54,-0.0080327452443147,-95.4002841515435
18,-10,2.541,-0.0080352892526689,-95.4379876294445
18,-10,2.542,-0.00803783347792543,-95.4756912417532
18,-10,2.543,-0.00804037791999086,-95.5133949884457
18,-10,2.544,-0.00804292257879105,-95.5510988694984
18,-10,2.545,-0.00804546745423353,-95.5888028848875
18,-10,2.546,-0.00804801254623355,-95.6265070345889
18,-10,2.547,-0.00805055785470251,-95.6642113185789
18,-10,2.548,-0.00805310337955854,-95.7019157368332
18,-10,2.549,-0.00805564912070918,-95.7396202893279
18,-10,2.55,-0.00805819507806485,-95.7773249760387
18,-10,2.551,-0.00806074125154081,-95.8150297969414
18,-10,2.552,-0.00806328764104264,-95.8527347520117
18,-10,2.553,-0.0080658342464885,-95.8904398412252
18,-10,2.554,-0.00806838106777915,-95.9281450645574
18,-10,2.555,-0.00807092810482503,-95.9658504219837
18,-10,2.556,-0.00807347535753848,-96.0035559134797
18,-10,2.557,-0.00807602282582703,-96.0412615390206
18,-10,2.558,-0.00807857050959436,-96.0789672985816
18,-10,2.559,-0.00808111840874991,-96.116673192138
18,-10,2.56,-0.00808366652320025,-96.1543792196648
18,-10,2.561,-0.00808621485284905,-96.1920853811372
18,-10,2.562,-0.00808876339760191,-96.22979167653
18,-10,2.563,-0.00809131215736441,-96.2674981058183
18,-10,2.564,-0.00809386113204217,-96.3052046689767
18,-10,2.565,-0.00809641032153497,-96.3429113659802
18,-10,2.566,-0.00809895972575036,-96.3806181968033
18,-10,2.567,-0.00810150934459007,-96.4183251614207
18,-10,2.568,-0.00810405917795003,-96.456032259807
18,-10,2.569,-0.00810660922574164,-96.4937394919366
18,-10,2.57,-0.00810915948785795,-96.5314468577839
18,-10,2.571,-0.00811170996420456,-96.5691543573234
18,-10,2.572,-0.00811426065467836,-96.6068619905292
18,-10,2.573,-0.00811681155918014,-96.6445697573755
18,-10,2.574,-0.00811936267760776,-96.6822776578365
18,-10,2.575,-0.00812191400986104,-96.7199856918863
18,-10,2.576,-0.00812446555583783,-96.7576938594988
18,-10,2.577,-0.00812701731543313,-96.7954021606479
18,-10,2.578,-0.00812956928854577,-96.8331105953075
18,-10,2.579,-0.00813212147507459,-96.8708191634514
18,-10,2.58,-0.00813467387491167,-96.9085278650533
18,-10,2.581,-0.00813722648795102,-96.9462367000868
18,-10,2.582,-0.00813977931409342,-96.9839456685255
18,-10,2.583,-0.00814233235322901,-97.0216547703428
18,-10,2.584,-0.00814488560525277,-97.0593640055123
18,-10,2.585,-0.00814743907005583,-97.0970733740072
18,-10,2.586,-0.00814999274753507,-97.1347828758009
18,-10,2.587,-0.00815254663757777,-97.1724925108665
18,-10,2.588,-0.00815510074007986,-97.2102022791772
18,-10,2.589,-0.00815765505493245,-97.2479121807061
18,-10,2.59,-0.00816020958202088,-97.2856222154262
18,-10,2.591,-0.00816276432124301,-97.3233323833105
18,-10,2.592,-0.00816531927248321,-97.3610426843317
18,-10,2.593,-0.00816787443563259,-97.3987531184627
18,-10,2.594,-0.00817042981058033,-97.4364636856762
18,-10,2.595,-0.00817298539721465,-97.4741743859449
18,-10,2.596,-0.00817554119541991,-97.5118852192414
18,-10,2.597,-0.0081780972050882,-97.5495961855381
18,-10,2.598,-0.00818065342610483,-97.5873072848075
18,-10,2.599,-0.00818320985835417,-97.625018517022
18,-10,2.6,-0.00818576650172249,-97.6627298821539
18,-10,2.601,-0.00818832335609706,-97.7004413801754
18,-10,2.602,-0.00819088042135644,-97.7381530110587
18,-10,2.603,-0.00819343769739368,-97.7758647747759
18,-10,2.604,-0.00819599518408927,-97.8135766712991
18,-10,2.605,-0.0081985528813237,-97.8512887006001
18,-10,2.606,-0.00820111078898231,-97.8890008626508
18,-10,2.607,-0.00820366890694462,-97.9267131574231
18,-10,2.608,-0.00820622723509692,-97.9644255848887
18,-10,2.609,-0.00820878577331488,-98.0021381450194
18,-10,2.61,-0.00821134452148285,-98.0398508377866
18,-10,2.611,-0.00821390347948037,-98.077563663162
18,-10,2.612,-0.00821646264718696,-98.1152766211169
18,-10,2.613,-0.00821902202448506,-98.1529897116229
18,-10,2.614,-0.00822158161124454,-98.1907029346512
18,-10,2.615,-0.00822414140735361,-98.2284162901731
18,-10,2.616,-0.00822670141268215,-98.2661297781597
18,-10,2.617,-0.00822926162711742,-98.3038433985822
18,-10,2.618,-0.0082318220505264,-98.3415571514117
18,-10,2.619,-0.00823438268279151,-98.3792710366191
18,-10,2.62,-0.00823694352378166,-98.4169850541754
18,-10,2.621,-0.00823950457338121,-98.4546992040513
18,-10,2.622,-0.00824206583145811,-98.4924134862176
18,-10,2.623,-0.00824462729788898,-98.5301279006451
18,-10,2.624,-0.00824718897254853,-98.5678424473043
18,-10,2.625,-0.00824975085530857,-98.6055571261659
18,-10,2.626,-0.00825231294604283,-98.6432719372003
18,-10,2.627,-0.00825487524462505,-98.6809868803779
18,-10,2.628,-0.00825743775092511,-98.7187019556691
18,-10,2.629,-0.00826000046481674,-98.7564171630442
18,-10,2.63,-0.00826256338616885,-98.7941325024734
18,-10,2.631,-0.00826512651485421,-98.8318479739269
18,-10,2.632,-0.00826768985073981,-98.8695635773746
18,-10,2.633,-0.00827025339370034,-98.9072793127867
18,-10,2.634,-0.00827281714359603,-98.944995180133
18,-10,2.635,-0.00827538110030158,-98.9827111793835
18,-10,2.636,-0.00827794526368783,-99.0204273105078
18,-10,2.637,-0.00828050963361499,-99.0581435734758
18,-10,2.638,-0.00828307420995584,-99.0958599682571
18,-10,2.639,-0.00828563899257447,-99.1335764948213
18,-10,2.64,-0.00828820398134074,-99.1712931531379
18,-10,2.641,-0.00829076917611584,-99.2090099431764
18,-10,2.642,-0.00829333457676483,-99.2467268649061
18,-10,2.643,-0.00829590018315563,-99.2844439182963
18,-10,2.644,-0.00829846599515621,-99.3221611033163
18,-10,2.645,-0.00830103201261905,-99.3598784199354
18,-10,2.646,-0.00830359823541885,-99.3975958681224
18,-10,2.647,-0.00830616466341294,-99.4353134478466
18,-10,2.648,-0.0083087312964654,-99.4730311590769
18,-10,2.649,-0.00831129813443356,-99.5107490017821
18,-10,2.65,-0.00831386517718536,-99.5484669759311
18,-10,2.651,-0.00831643242458101,-99.5861850814927
18,-10,2.652,-0.00831899987647977,-99.6239033184355
18,-10,2.653,-0.00832156753273897,-99.6616216867282
18,-10,2.654,-0.00832413539322269,-99.6993401863393
18,-10,2.655,-0.0083267034577892,-99.7370588172373
18,-10,2.656,-0.00832927172629199,-99.7747775793906
18,-10,2.657,-0.00833184019859706,-99.8124964727675
18,-10,2.658,-0.00833440887455689,-99.8502154973364
18,-10,2.659,-0.00833697775403172,-99.8879346530653
18,-10,2.66,-0.0083395468368808,-99.9256539399226
18,-10,2.661,-0.0083421161229518,-99.9633733578762
18,-10,2.662,-0.00834468561210686,-100.001092906894
18,-10,2.663,-0.00834725530420234,-100.038812586944
18,-10,2.664,-0.00834982519909074,-100.076532397995
18,-10,2.665,-0.00835239529662841,-100.114252340013
18,-10,2.666,-0.00835496559666689,-100.151972412967
18,-10,2.667,-0.00835753609906254,-100.189692616824
18,-10,2.668,-0.00836010680366977,-100.227412951552
18,-10,2.669,-0.00836267771033432,-100.265133417118
18,-10,2.67,-0.00836524881891545,-100.30285401349
18,-10,2.671,-0.00836782012926276,-100.340574740636
18,-10,2.672,-0.00837039164122585,-100.378295598522
18,-10,2.673,-0.00837296335466106,-100.416016587115
18,-10,2.674,-0.00837553526940932,-100.453737706384
18,-10,2.675,-0.00837810738532987,-100.491458956295
18,-10,2.676,-0.00838067970226845,-100.529180336815
18,-10,2.677,-0.00838325222007659,-100.56690184791
18,-10,2.678,-0.00838582493860002,-100.604623489549
18,-10,2.679,-0.00838839785768738,-100.642345261698
18,-10,2.68,-0.00839097097718923,-100.680067164323
18,-10,2.681,-0.00839354429694842,-100.717789197391
18,-10,2.682,-0.00839611781681356,-100.755511360869
18,-10,2.683,-0.00839869153663041,-100.793233654724
18,-10,2.684,-0.00840126545624855,-100.830956078921
18,-10,2.685,-0.00840383957550986,-100.868678633428
18,-10,2.686,-0.00840641389426201,-100.90640131821
18,-10,2.687,-0.00840898841234687,-100.944124133234
18,-10,2.688,-0.00841156312961018,-100.981847078467
18,-10,2.689,-0.00841413804589477,-101.019570153873
18,-10,2.69,-0.00841671316104445,-101.057293359421
18,-10,2.691,-0.00841928847490206,-101.095016695074
18,-10,2.692,-0.00842186398731236,-101.1327401608
