"pin [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
0,2,-0.00679131925343769,-44.3730593205384
0,2.00025,-0.00679310656308979,-44.3789632956395
0,2.0005,-0.00679489446117283,-44.3848675142669
0,2.00075,-0.00679668294793615,-44.3907719766028
0,2.001,-0.00679847202362042,-44.3966766828297
0,2.00125,-0.00680026168847115,-44.4025816331302
0,2.0015,-0.00680205194273479,-44.4084868276873
0,2.00175,-0.00680384278665683,-44.414392266684
0,2.002,-0.00680563422048085,-44.4202979503038
0,2.00225,-0.0068074262444533,-44.4262038787301
0,2.0025,-0.00680921885882162,-44.4321100521468
0,2.00275,-0.00681101206382839,-44.4380164707377
0,2.003,-0.00681280585972395,-44.4439231346872
0,2.00325,-0.00681460024675379,-44.4498300441796
0,2.0035,-0.00681639522516438,-44.4557371993995
0,2.00375,-0.00681819079519638,-44.4616446005319
0,2.004,-0.00681998695710785,-44.4675522477618
0,2.00425,-0.00682178371113945,-44.4734601412745
0,2.0045,-0.00682358105753572,-44.4793682812555
0,2.00475,-0.00682537899655085,-44.4852766678905
0,2.005,-0.00682717752843033,-44.4911853013656
0,2.00525,-0.00682897665341677,-44.4970941818669
0,2.0055,-0.00683077637176821,-44.5030033095808
0,2.00575,-0.0068325766837263,-44.5089126846939
0,2.006,-0.00683437758953751,-44.514822307393
0,2.00625,-0.00683617908945697,-44.5207321778653
0,2.0065,-0.00683798118372634,-44.526642296298
0,2.00675,-0.00683978387260174,-44.5325526628787
0,2.007,-0.0068415871563277,-44.538463277795
0,2.00725,-0.00684339103515358,-44.5443741412349
0,2.0075,-0.0068451955093326,-44.5502852533867
0,2.00775,-0.00684700057911124,-44.5561966144387
0,2.008,-0.00684880624474176,-44.5621082245795
0,2.00825,-0.00685061250647255,-44.5680200839981
0,2.0085,-0.00685241936455298,-44.5739321928835
0,2.00875,-0.00685422681923821,-44.5798445514249
0,2.009,-0.00685603487077084,-44.5857571598121
0,2.00925,-0.00685784351940989,-44.5916700182346
0,2.0095,-0.00685965276540472,-44.5975831268826
0,2.00975,-0.00686146260900182,-44.6034964859462
0,2.01,-0.00686327305045729,-44.6094100956158
0,2.01025,-0.00686508409002051,-44.6153239560822
0,2.0105,-0.00686689572794374,-44.6212380675362
0,2.01075,-0.0068687079644802,-44.627152430169
0,2.011,-0.00687052079988217,-44.633067044172
0,2.01125,-0.00687233423440094,-44.6389819097366
0,2.0115,-0.00687414826828877,-44.6448970270548
0,2.01175,-0.00687596290180082,-44.6508123963186
0,2.012,-0.0068777781351884,-44.6567280177203
0,2.01225,-0.00687959396870376,-44.6626438914523
0,2.0125,-0.00688141040260013,-44.6685600177075
0,2.01275,-0.00688322743713655,-44.6744763966787
0,2.013,-0.00688504507255755,-44.6803930285593
0,2.01325,-0.00688686330912312,-44.6863099135426
0,2.0135,-0.00688868214708746,-44.6922270518223
0,2.01375,-0.00689050158670187,-44.6981444435923
0,2.014,-0.0068923216282273,-44.7040620890467
0,2.01425,-0.00689414227190926,-44.70997998838
0,2.0145,-0.00689596351800968,-44.7158981417867
0,2.01475,-0.00689778536678082,-44.7218165494617
0,2.015,-0.00689960781848074,-44.7277352116
0,2.01525,-0.00690143087336075,-44.7336541283969
0,2.0155,-0.0069032545316789,-44.7395733000481
0,2.01575,-0.00690507879369035,-44.7454927267492
0,2.016,-0.00690690365965318,-44.7514124086963
0,2.01625,-0.00690872912982158,-44.7573323460856
0,2.0165,-0.00691055520445458,-44.7632525391137
0,2.01675,-0.00691238188380541,-44.7691729879772
0,2.017,-0.0069142091681302,-44.7750936928732
0,2.01725,-0.00691603705769281,-44.7810146539988
0,2.0175,-0.00691786555274262,-44.7869358715515
0,2.01775,-0.0069196946535425,-44.7928573457289
0,2.018,-0.00692152436034957,-44.798779076729
0,2.01825,-0.00692335467341802,-44.80470106475
0,2.0185,-0.00692518559300978,-44.8106233099901
0,2.01875,-0.00692701711938292,-44.8165458126482
0,2.019,-0.00692884925279452,-44.8224685729231
0,2.01925,-0.00693068199350363,-44.8283915910138
0,2.0195,-0.00693251534176927,-44.8343148671198
0,2.01975,-0.00693434929785048,-44.8402384014406
0,2.02,-0.00693618386200724,-44.8461621941762
0,2.02025,-0.0069380190344986,-44.8520862455265
0,2.0205,-0.00693985481558261,-44.858010555692
0,2.02075,-0.00694169120552121,-44.8639351248732
0,2.021,-0.00694352820457247,-44.869859953271
0,2.02125,-0.0069453658130012,-44.8757850410864
0,2.0215,-0.00694720403106354,-44.8817103885207
0,2.02175,-0.00694904285902143,-44.8876359957754
0,2.022,-0.00695088229713679,-44.8935618630525
0,2.02225,-0.00695272234567251,-44.8994879905539
0,2.0225,-0.00695456300488282,-44.9054143784819
0,2.02275,-0.00695640427503735,-44.911341027039
0,2.023,-0.00695824615639321,-44.9172679364282
0,2.02325,-0.0069600886492133,-44.9231951068523
0,2.0235,-0.00696193175375956,-44.9291225385146
0,2.02375,-0.0069637754702968,-44.9350502316188
0,2.024,-0.00696561979908406,-44.9409781863686
0,2.02425,-0.00696746474038714,-44.946906402968
0,2.0245,-0.00696931029446797,-44.9528348816212
0,2.02475,-0.00697115646158944,-44.9587636225329
0,2.025,-0.00697300324201254,-44.9646926259078
0,2.02525,-0.00697485063600786,-44.9706218919509
0,2.0255,-0.0069766986438306,-44.9765514208675
0,2.02575,-0.00697854726575041,-44.9824812128631
0,2.026,-0.00698039650203309,-44.9884112681436
0,2.02625,-0.0069822463529367,-44.9943415869149
0,2.0265,-0.00698409681872995,-45.0002721693834
0,2.02675,-0.00698594789967669,-45.0062030157555
0,2.027,-0.00698779959604562,-45.0121341262382
0,2.02725,-0.00698965190809675,-45.0180655010383
0,2.0275,-0.00699150483609683,-45.0239971403632
0,2.02775,-0.00699335838031553,-45.0299290444206
0,2.028,-0.00699521254101285,-45.0358612134181
0,2.02825,-0.00699706731845846,-45.0417936475639
0,2.0285,-0.00699892271291911,-45.0477263470663
0,2.02875,-0.0070007787246606,-45.0536593121338
0,2.029,-0.00700263535394971,-45.0595925429753
0,2.02925,-0.00700449260105319,-45.0655260397999
0,2.0295,-0.00700635046623685,-45.0714598028169
0,2.02975,-0.00700820894977131,-45.077393832236
0,2.03,-0.0070100680519243,-45.083328128267
0,2.03025,-0.00701192777295776,-45.08926269112
0,2.0305,-0.00701378811314908,-45.0951975210054
