"Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
2.7,-0.0220705666197878,152.084253717102
2.7005,-0.0220839260792199,152.029802819582
2.701,-0.0220974695484213,151.975176540595
2.7015,-0.0221112014143745,151.920371732708
2.702,-0.0221251261957288,151.865385172187
2.7025,-0.0221392485476067,151.810213556676
2.703,-0.0221535732665883,151.75485350278
2.7035,-0.0221681052959298,151.699301543567
2.704,-0.0221828497310096,151.643554125973
2.7045,-0.0221978118250024,151.58760760811
2.705,-0.0222129969947973,151.531458256473
2.7055,-0.0222284108272,151.475102243039
2.706,-0.0222440590853935,151.418535642261
2.7065,-0.0222599477156863,151.361754427939
2.707,-0.022276082854568,151.304754469972
2.7075,-0.0222924708360971,151.247531530988
2.708,-0.0223091181996108,151.19008126284
2.7085,-0.0223260316977825,151.132399202954
2.709,-0.0223432183050785,151.074480770551
2.7095,-0.0223606852265831,151.016321262698
2.71,-0.0223784399072536,150.957915850214
2.7105,-0.0223964900415966,150.899259573405
2.711,-0.0224148435838157,150.840347337623
2.7115,-0.0224335087584512,150.781173908646
2.712,-0.022452494071507,150.721733907866
2.7125,-0.0224718083221412,150.662021807277
2.713,-0.022491460614921,150.602031924246
2.7135,-0.022511460372673,150.541758416079
2.714,-0.0225318173499847,150.481195274337
2.7145,-0.0225525416473561,150.420336318922
2.715,-0.0225736437260885,150.359175191903
2.7155,-0.0225951344239232,150.297705351069
2.716,-0.0226170249714476,150.235920063214
2.7165,-0.0226393270093874,150.173812397107
2.717,-0.022662052606767,150.111375216165
2.7175,-0.0226852142800121,150.04860117079
2.718,-0.0227088250130905,149.985482690362
2.7185,-0.0227328982786713,149.922011974872
2.719,-0.0227574480604546,149.858180986167
2.7195,-0.022782488876672,149.793981438791
2.72,-0.0228080358048811,149.729404790405
2.7205,-0.022834104508102,149.664442231757
2.721,-0.022860711262395,149.59908467617
2.7215,-0.0228878729859651,149.533322748547
2.722,-0.0229156072699086,149.467146773826
2.7225,-0.0229439324106674,149.4005467649
2.723,-0.0229728674443494,149.33351240993
2.7235,-0.023002432183017,149.266033059042
2.724,-0.0230326472530461,149.19809771037
2.7245,-0.0230635341357466,149.129694995386
2.725,-0.0230951152103672,149.060813163511
2.7255,-0.0231274137996241,148.991440065927
2.726,-0.0231604542179821,148.921563138569
2.7265,-0.0231942618228378,148.851169384234
2.727,-0.0232288630687867,148.78024535376
2.7275,-0.0232642855652566,148.708777126214
2.728,-0.0233005581376999,148.636750288029
2.7285,-0.0233377108925791,148.564149911022
2.729,-0.0233757752864894,148.490960529229
2.7295,-0.023414784199646,148.417166114478
2.73,-0.0234547720140816,148.342750050611
2.7305,-0.0234957746969455,148.267695106289
2.731,-0.0235378298892164,148.191983406256
2.7315,-0.0235809770002644,148.115596400998
2.732,-0.0236252573087523,148.038514834652
2.7325,-0.0236707140702694,147.960718711079
2.733,-0.0237173926323275,147.882187257957
2.7335,-0.0237653405572087,147.802898888764
2.734,-0.0238146077533409,147.722831162507
2.7345,-0.0238652466158531,147.641960741044
2.735,-0.02391731217708,147.560263343806
2.7355,-0.0239708622677939,147.477713699773
2.736,-0.0240259576900822,147.394285496467
2.7365,-0.0240826624028114,147.309951325769
2.737,-0.0241410437207668,147.224682626318
2.7375,-0.0242011725286057,147.13844962224
2.738,-0.0242631235109205,147.05122125793
2.7385,-0.0243269753997788,146.962965128587
2.739,-0.0243928112413342,146.873647406182
2.7395,-0.0244607186831422,146.78323276049
2.74,-0.0245307902840722,146.691684274821
2.7405,-0.0246031238488817,146.598963356008
2.741,-0.024677822789686,146.505029638201
2.7415,-0.0247549965168649,146.409840879965
2.742,-0.0248347608621345,146.313352854132
2.7425,-0.0249172385368893,146.215519229802
2.743,-0.025002559629192,146.116291445827
2.7435,-0.025090862143165,146.015618575074
2.744,-0.0251822925850224,145.913447178645
2.7445,-0.0252770066003514,145.809721149201
2.745,-0.0253751696678573,145.704381542416
2.7455,-0.0254769578553875,145.597366395498
2.746,-0.0255825586446306,145.488610531619
2.7465,-0.0256921718318121,145.37804534894
2.747,-0.0258060105124245,145.265598592818
2.7475,-0.0259243021590943,145.1511941096
2.748,-0.0260472898028021,145.034751580251
2.7485,-0.0261752333289147,144.916186231856
2.749,-0.0263084109009806,144.795408524832
2.7495,-0.0264471205268681,144.67232381343
2.75,-0.0265916817837566,144.546831976827
2.7505,-0.0267424377206401,144.418827017797
2.751,-0.0268997569595564,144.288196625599
2.7515,-0.0270640360195714,144.154821699283
2.752,-0.0272357018909497,144.018575827211
2.7525,-0.027415214890732,143.879324717992
2.753,-0.0276030718354332,143.736925577496
2.7535,-0.0277998095717257,143.591226425876
2.754,-0.0280060089119964,143.442065347772
2.7545,-0.0282222990286951,143.289269667934
2.755,-0.0284493623695913,143.132655043497
2.7555,-0.0286879401656295,142.972024462913
2.756,-0.0289388386144817,142.807167140149
2.7565,-0.0292029358360158,142.637857291184
2.757,-0.029481189711816,142.463852777926
2.7575,-0.0297746467393442,142.284893602521
2.758,-0.0300844520534735,142.100700232458
2.7585,-0.0304118607945133,141.910971733906
2.759,-0.0307582510332003,141.71538368722
2.7595,-0.0311251385009323,141.513585854421
2.76,-0.0315141934188374,141.305199563578
2.7605,-0.0319272597739915,141.089814769292
2.761,-0.0323663774574536,140.866986741566
2.7615,-0.0328338077593098,140.636232327212
2.762,-0.0333320628142929,140.39702571815
2.7625,-0.0338639397120212,140.148793649187
2.763,-0.0344325601340402,139.890909933707
2.7635,-0.0350414165630493,139.622689228567
2.764,-0.0356944263367854,139.343379898645
2.7645,-0.0363959951024164,139.052155826062
2.765,-0.0371510915821064,138.748106977984
2.7655,-0.0379653360074713,138.430228508484
2.766,-0.0388451051460851,138.097408122561
2.7665,-0.0397976575635575,137.748411371359
2.767,-0.0408312836864117,137.381864473892
2.7675,-0.0419554864184726,136.996234167921
2.768,-0.0431811996025891,136.589803975418
2.7685,-0.0445210536279659,136.160646119104
2.769,-0.0459897001222374,135.706588135836
2.7695,-0.0476042111606768,135.225172986945
2.77,-0.0493845730840109,134.713611146862
2.7705,-0.0513543012820879,134.168722734728
2.771,-0.0535412107977857,133.586867204765
2.7715,-0.0559783892339485,132.963857382191
2.772,-0.0587054345099815,132.294853654607
2.7725,-0.0617700424283336,131.574232807985
2.773,-0.0652300606145565,130.795424192903
2.7735,-0.0691561704513555,129.950703418771
2.774,-0.0736354236157569,129.030930304296
2.7745,-0.0787759547186455,128.02521291793
2.775,-0.0847133318785677,126.920472553411
2.7755,-0.0916192173793519,125.700874377985
2.776,-0.0997133301275875,124.347073675797
2.7765,-0.109280194027967,122.835205587883
2.777,-0.120692925734686,121.135513043207
2.7775,-0.134447533296212,119.21045676395
2.778,-0.151213148101499,117.012072358083
2.7785,-0.171906762057288,114.478215460725
2.779,-0.197806129633908,111.527138703514
2.7795,-0.230722593786389,108.049529340361
2.78,-0.273267867122469,103.896636842115
