"dis [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
-15,2.7,-0.00582249748373331,-69.1595572707918
-15,2.7005,-0.00582351976178163,-69.172418853661
-15,2.701,-0.00582454218833051,-69.1852804633687
-15,2.7015,-0.00582556476341571,-69.1981420999158
-15,2.702,-0.00582658748707684,-69.2110037633034
-15,2.7025,-0.00582761035935256,-69.2238654535326
-15,2.703,-0.00582863338027475,-69.2367271706046
-15,2.7035,-0.00582965654987919,-69.2495889145203
-15,2.704,-0.00583067986820934,-69.2624506852809
-15,2.7045,-0.0058317033352971,-69.2753124828874
-15,2.705,-0.00583272695117726,-69.288174307341
-15,2.7055,-0.0058337507158904,-69.3010361586426
-15,2.706,-0.00583477462947036,-69.3138980367933
-15,2.7065,-0.00583579869195192,-69.3267599417942
-15,2.707,-0.00583682290337566,-69.3396218736464
-15,2.7075,-0.00583784726377445,-69.3524838323509
-15,2.708,-0.00583887177318887,-69.3653458179088
-15,2.7085,-0.00583989643164406,-69.3782078303211
-15,2.709,-0.00584092123918735,-69.3910698695889
-15,2.7095,-0.00584194619585162,-69.4039319357133
-15,2.71,-0.00584297130166971,-69.4167940286953
-15,2.7105,-0.00584399655668028,-69.4296561485359
-15,2.711,-0.0058450219609133,-69.4425182952362
-15,2.7115,-0.00584604751441032,-69.4553804687972
-15,2.712,-0.0058470732172042,-69.46824266922
-15,2.7125,-0.00584809906932876,-69.4811048965056
-15,2.713,-0.00584912507082459,-69.4939671506551
-15,2.7135,-0.00585015122171876,-69.5068294316694
-15,2.714,-0.00585117752205089,-69.5196917395496
-15,2.7145,-0.00585220397185287,-69.5325540742967
-15,2.715,-0.00585323057116529,-69.5454164359118
-15,2.7155,-0.00585425732001714,-69.5582788243959
-15,2.716,-0.00585528421844226,-69.57114123975
-15,2.7165,-0.0058563112664764,-69.584003681975
-15,2.717,-0.00585733846415532,-69.5968661510721
-15,2.7175,-0.00585836581151188,-69.6097286470422
-15,2.718,-0.00585939330857991,-69.6225911698863
-15,2.7185,-0.00586042095539517,-69.6354537196054
-15,2.719,-0.00586144875198666,-69.6483162962005
-15,2.7195,-0.00586247669839689,-69.6611788996727
-15,2.72,-0.00586350479465101,-69.6740415300228
-15,2.7205,-0.00586453304078862,-69.6869041872519
-15,2.721,-0.00586556143684453,-69.6997668713609
-15,2.7215,-0.00586658998285063,-69.7126295823508
-15,2.722,-0.00586761867884268,-69.7254923202225
-15,2.7225,-0.00586864752486029,-69.7383550849771
-15,2.723,-0.00586967652093247,-69.7512178766155
-15,2.7235,-0.00587070566709981,-69.7640806951385
-15,2.724,-0.00587173496340095,-69.7769435405473
-15,2.7245,-0.00587276440986972,-69.7898064128426
-15,2.725,-0.0058737940065496,-69.8026693120254
-15,2.7255,-0.00587482375347731,-69.8155322380968
-15,2.726,-0.00587585365069633,-69.8283951910575
-15,2.7265,-0.00587688369825014,-69.8412581709085
-15,2.727,-0.00587791389617932,-69.8541211776508
-15,2.7275,-0.00587894424452927,-69.8669842112852
-15,2.728,-0.0058799747433483,-69.8798472718128
-15,2.7285,-0.00588100539268182,-69.8927103592344
-15,2.729,-0.00588203619258103,-69.905573473551
-15,2.7295,-0.00588306714309518,-69.9184366147635
-15,2.73,-0.00588409824427163,-69.9312997828729
-15,2.7305,-0.00588512949616639,-69.9441629778802
-15,2.731,-0.00588616089882583,-69.9570261997863
-15,2.7315,-0.00588719245230213,-69.9698894485922
-15,2.732,-0.00588822415664839,-69.982752724299
-15,2.7325,-0.00588925601191294,-69.9956160269076
-15,2.733,-0.00589028801814503,-70.0084793564192
-15,2.7335,-0.00589132017539201,-70.0213427128346
-15,2.734,-0.00589235248369735,-70.0342060961549
-15,2.7345,-0.00589338494310646,-70.0470695063813
-15,2.735,-0.00589441755365992,-70.0599329435147
-15,2.7355,-0.00589545031539639,-70.0727964075562
-15,2.736,-0.00589648322835452,-70.0856598985069
-15,2.7365,-0.00589751629257007,-70.0985234163678
-15,2.737,-0.005898549508073,-70.1113869611399
-15,2.7375,-0.00589958287489715,-70.1242505328242
-15,2.738,-0.00590061639307248,-70.1371141314218
-15,2.7385,-0.0059016500626251,-70.1499777569338
-15,2.739,-0.00590268388358306,-70.162841409361
-15,2.7395,-0.00590371785597727,-70.1757050887045
-15,2.74,-0.00590475197982904,-70.1885687949652
-15,2.7405,-0.00590578625516543,-70.2014325281442
-15,2.741,-0.00590682068201351,-70.2142962882423
-15,2.7415,-0.00590785526039939,-70.2271600752606
-15,2.742,-0.00590888999034919,-70.2400238891999
-15,2.7425,-0.00590992487188997,-70.2528877300612
-15,2.743,-0.00591095990504784,-70.2657515978454
