Freq [GHz],"dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
2,-0.006087491,-43.9153886
2.0015,-0.006095973,-43.94981709
2.003,-0.006104471,-43.98425109
2.0045,-0.006112986,-44.01869063
2.006,-0.006121517,-44.05313573
2.0075,-0.006130064,-44.0875864
2.009,-0.006138628,-44.12204268
2.0105,-0.006147209,-44.15650459
2.012,-0.006155805,-44.19097215
2.0135,-0.006164419,-44.22544538
2.015,-0.006173049,-44.2599243
2.0165,-0.006181696,-44.29440894
2.018,-0.006190359,-44.32889933
2.0195,-0.006199039,-44.36339548
2.021,-0.006207736,-44.39789742
2.0225,-0.00621645,-44.43240517
2.024,-0.00622518,-44.46691876
2.0255,-0.006233927,-44.50143821
2.027,-0.006242691,-44.53596355
2.0285,-0.006251472,-44.5704948
2.03,-0.00626027,-44.60503199
2.0315,-0.006269085,-44.63957513
2.033,-0.006277916,-44.67412427
2.0345,-0.006286765,-44.70867941
2.036,-0.006295631,-44.74324059
2.0375,-0.006304514,-44.77780784
2.039,-0.006313414,-44.81238117
2.0405,-0.006322332,-44.84696062
2.042,-0.006331266,-44.88154621
2.0435,-0.006340218,-44.91613797
2.045,-0.006349187,-44.95073592
2.0465,-0.006358174,-44.98534009
2.048,-0.006367177,-45.01995052
2.0495,-0.006376198,-45.05456721
2.051,-0.006385237,-45.08919022
2.0525,-0.006394293,-45.12381955
2.054,-0.006403367,-45.15845524
2.0555,-0.006412458,-45.19309732
2.057,-0.006421566,-45.22774582
2.0585,-0.006430693,-45.26240075
2.06,-0.006439837,-45.29706217
2.0615,-0.006448998,-45.33173008
2.063,-0.006458178,-45.36640453
2.0645,-0.006467375,-45.40108553
2.066,-0.00647659,-45.43577313
2.0675,-0.006485823,-45.47046734
2.069,-0.006495073,-45.50516821
2.0705,-0.006504342,-45.53987576
2.072,-0.006513628,-45.57459002
2.0735,-0.006522933,-45.60931102
2.075,-0.006532255,-45.64403879
2.0765,-0.006541596,-45.67877337
2.078,-0.006550955,-45.71351478
2.0795,-0.006560332,-45.74826306
2.081,-0.006569727,-45.78301824
2.0825,-0.00657914,-45.81778035
2.084,-0.006588572,-45.85254943
2.0855,-0.006598022,-45.8873255
2.087,-0.00660749,-45.92210861
2.0885,-0.006616977,-45.95689877
2.09,-0.006626482,-45.99169604
2.0915,-0.006636006,-46.02650043
2.093,-0.006645548,-46.06131199
2.0945,-0.006655109,-46.09613075
2.096,-0.006664689,-46.13095674
2.0975,-0.006674287,-46.16579001
2.099,-0.006683903,-46.20063057
2.1005,-0.006693539,-46.23547848
2.102,-0.006703193,-46.27033376
2.1035,-0.006712866,-46.30519645
2.105,-0.006722558,-46.34006659
2.1065,-0.006732269,-46.37494421
2.108,-0.006741999,-46.40982936
2.1095,-0.006751748,-46.44472206
2.111,-0.006761516,-46.47962236
2.1125,-0.006771303,-46.51453029
2.114,-0.006781109,-46.54944589
2.1155,-0.006790934,-46.58436921
2.117,-0.006800779,-46.61930027
2.1185,-0.006810643,-46.65423912
2.12,-0.006820526,-46.6891858
2.1215,-0.006830429,-46.72414035
2.123,-0.006840351,-46.7591028
2.1245,-0.006850292,-46.79407321
2.126,-0.006860253,-46.8290516
2.1275,-0.006870233,-46.86403802
2.129,-0.006880234,-46.89903251
2.1305,-0.006890253,-46.93403511
2.132,-0.006900293,-46.96904587
2.1335,-0.006910352,-47.00406483
2.135,-0.006920431,-47.03909202
2.1365,-0.00693053,-47.07412751
2.138,-0.006940649,-47.10917131
2.1395,-0.006950787,-47.14422349
2.141,-0.006960946,-47.17928409
2.1425,-0.006971125,-47.21435314
2.144,-0.006981324,-47.2494307
2.1455,-0.006991543,-47.28451681
2.147,-0.007001782,-47.31961152
2.1485,-0.007012041,-47.35471487
2.15,-0.007022321,-47.38982691
2.1515,-0.007032621,-47.42494768
2.153,-0.007042942,-47.46007724
2.1545,-0.007053283,-47.49521564
2.156,-0.007063644,-47.53036291
2.1575,-0.007074027,-47.56551911
2.159,-0.007084429,-47.60068429
2.1605,-0.007094853,-47.6358585
2.162,-0.007105297,-47.67104179
2.1635,-0.007115762,-47.7062342
2.165,-0.007126248,-47.7414358
2.1665,-0.007136754,-47.77664662
2.168,-0.007147282,-47.81186673
