Freq [GHz],"dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
2,-0.006539238,-43.19216009
2.0015,-0.006549347,-43.22545217
2.003,-0.006559476,-43.25874649
2.0045,-0.006569624,-43.29204306
2.006,-0.006579792,-43.32534187
2.0075,-0.006589979,-43.35864293
2.009,-0.006600187,-43.39194625
2.0105,-0.006610414,-43.42525182
2.012,-0.006620661,-43.45855966
2.0135,-0.006630928,-43.49186976
2.015,-0.006641214,-43.52518213
2.0165,-0.006651521,-43.55849678
2.018,-0.006661847,-43.5918137
2.0195,-0.006672194,-43.6251329
2.021,-0.006682561,-43.65845438
2.0225,-0.006692947,-43.69177815
2.024,-0.006703354,-43.72510421
2.0255,-0.006713781,-43.75843256
2.027,-0.006724227,-43.79176321
2.0285,-0.006734695,-43.82509616
2.03,-0.006745182,-43.85843142
2.0315,-0.006755689,-43.89176899
2.033,-0.006766217,-43.92510886
2.0345,-0.006776765,-43.95845106
2.036,-0.006787333,-43.99179557
2.0375,-0.006797922,-44.02514241
2.039,-0.006808531,-44.05849158
2.0405,-0.006819161,-44.09184308
2.042,-0.006829811,-44.12519691
2.0435,-0.006840481,-44.15855309
2.045,-0.006851172,-44.1919116
2.0465,-0.006861884,-44.22527247
2.048,-0.006872616,-44.25863568
2.0495,-0.006883369,-44.29200125
2.051,-0.006894142,-44.32536918
2.0525,-0.006904936,-44.35873947
2.054,-0.006915751,-44.39211213
2.0555,-0.006926586,-44.42548716
2.057,-0.006937443,-44.45886456
2.0585,-0.00694832,-44.49224435
2.06,-0.006959218,-44.52562651
2.0615,-0.006970136,-44.55901107
2.063,-0.006981076,-44.59239801
2.0645,-0.006992037,-44.62578735
2.066,-0.007003018,-44.65917909
2.0675,-0.007014021,-44.69257324
2.069,-0.007025044,-44.72596979
2.0705,-0.007036089,-44.75936875
2.072,-0.007047155,-44.79277014
2.0735,-0.007058242,-44.82617394
2.075,-0.00706935,-44.85958017
2.0765,-0.007080479,-44.89298882
2.078,-0.00709163,-44.92639991
2.0795,-0.007102802,-44.95981344
2.081,-0.007113995,-44.99322942
2.0825,-0.007125209,-45.02664784
2.084,-0.007136445,-45.06006871
2.0855,-0.007147702,-45.09349203
2.087,-0.007158981,-45.12691782
2.0885,-0.007170281,-45.16034607
2.09,-0.007181602,-45.19377679
2.0915,-0.007192945,-45.22720999
2.093,-0.00720431,-45.26064566
2.0945,-0.007215696,-45.29408382
2.096,-0.007227104,-45.32752446
2.0975,-0.007238534,-45.3609676
2.099,-0.007249985,-45.39441324
2.1005,-0.007261458,-45.42786137
2.102,-0.007272953,-45.46131202
2.1035,-0.007284469,-45.49476517
2.105,-0.007296008,-45.52822084
2.1065,-0.007307568,-45.56167904
2.108,-0.00731915,-45.59513975
2.1095,-0.007330755,-45.628603
2.111,-0.007342381,-45.66206879
2.1125,-0.007354029,-45.69553711
2.114,-0.007365699,-45.72900799
2.1155,-0.007377391,-45.76248141
2.117,-0.007389105,-45.79595739
2.1185,-0.007400842,-45.82943593
2.12,-0.007412601,-45.86291703
2.1215,-0.007424382,-45.89640071
2.123,-0.007436185,-45.92988696
2.1245,-0.00744801,-45.96337579
2.126,-0.007459858,-45.99686721
2.1275,-0.007471728,-46.03036122
2.129,-0.00748362,-46.06385783
2.1305,-0.007495535,-46.09735704
2.132,-0.007507473,-46.13085886
2.1335,-0.007519433,-46.16436329
2.135,-0.007531415,-46.19787034
2.1365,-0.00754342,-46.23138002
2.138,-0.007555447,-46.26489232
2.1395,-0.007567498,-46.29840726
2.141,-0.007579571,-46.33192484
2.1425,-0.007591666,-46.36544506
2.144,-0.007603784,-46.39896794
2.1455,-0.007615926,-46.43249348
2.147,-0.007628089,-46.46602167
2.1485,-0.007640276,-46.49955254
2.15,-0.007652486,-46.53308608
2.1515,-0.007664718,-46.5666223
2.153,-0.007676974,-46.60016121
2.1545,-0.007689252,-46.63370281
2.156,-0.007701554,-46.66724711
2.1575,-0.007713879,-46.70079411
2.159,-0.007726226,-46.73434382
2.1605,-0.007738597,-46.76789625
2.162,-0.007750991,-46.8014514
2.1635,-0.007763408,-46.83500928
2.165,-0.007775849,-46.86856989
2.1665,-0.007788313,-46.90213325
2.168,-0.0078008,-46.93569935
2.1695,-0.00781331,-46.9692682
2.171,-0.007825844,-47.00283982
2.1725,-0.007838401,-47.0364142
2.174,-0.007850982,-47.06999135
2.1755,-0.007863586,-47.10357128
2.177,-0.007876214,-47.137154
2.1785,-0.007888865,-47.17073951
2.18,-0.00790154,-47.20432781
2.1815,-0.007914239,-47.23791893
2.183,-0.007926961,-47.27151285
2.1845,-0.007939707,-47.3051096
2.186,-0.007952477,-47.33870916
2.1875,-0.007965271,-47.37231157
2.189,-0.007978088,-47.40591681
2.1905,-0.00799093,-47.4395249
2.192,-0.008003795,-47.47313584
2.1935,-0.008016684,-47.50674964
2.195,-0.008029597,-47.54036631
2.1965,-0.008042535,-47.57398585
2.198,-0.008055496,-47.60760828
2.1995,-0.008068481,-47.64123359
2.201,-0.008081491,-47.6748618
2.2025,-0.008094525,-47.70849292
2.204,-0.008107583,-47.74212694
2.2055,-0.008120665,-47.77576389
2.207,-0.008133771,-47.80940376
2.2085,-0.008146902,-47.84304657
2.21,-0.008160058,-47.87669232
2.2115,-0.008173237,-47.91034101
2.213,-0.008186441,-47.94399267
2.2145,-0.00819967,-47.97764729
2.216,-0.008212923,-48.01130488
2.2175,-0.008226201,-48.04496546
2.219,-0.008239503,-48.07862902
2.2205,-0.00825283,-48.11229558
2.222,-0.008266182,-48.14596515
2.2235,-0.008279558,-48.17963773
2.225,-0.00829296,-48.21331333
2.2265,-0.008306385,-48.24699196
2.228,-0.008319836,-48.28067364
2.2295,-0.008333312,-48.31435836
2.231,-0.008346813,-48.34804613
2.2325,-0.008360338,-48.38173697
2.234,-0.008373889,-48.41543088
2.2355,-0.008387465,-48.44912788
2.237,-0.008401065,-48.48282797
2.2385,-0.008414691,-48.51653115
2.24,-0.008428343,-48.55023745
2.2415,-0.008442019,-48.58394687
2.243,-0.00845572,-48.61765941
2.2445,-0.008469447,-48.65137509
2.246,-0.008483199,-48.68509391
2.2475,-0.008496977,-48.71881589
2.249,-0.00851078,-48.75254104
2.2505,-0.008524608,-48.78626936
2.252,-0.008538462,-48.82000086
2.2535,-0.008552342,-48.85373556
2.255,-0.008566247,-48.88747346
2.2565,-0.008580178,-48.92121458
2.258,-0.008594134,-48.95495892
2.2595,-0.008608116,-48.98870649
2.261,-0.008622124,-49.02245731
2.2625,-0.008636158,-49.05621138
2.264,-0.008650217,-49.08996872
2.2655,-0.008664303,-49.12372933
2.267,-0.008678414,-49.15749323
2.2685,-0.008692551,-49.19126042
2.27,-0.008706714,-49.22503093
2.2715,-0.008720904,-49.25880475
2.273,-0.008735119,-49.2925819
2.2745,-0.008749361,-49.32636239
2.276,-0.008763628,-49.36014623
2.2775,-0.008777922,-49.39393343
2.279,-0.008792243,-49.42772401
2.2805,-0.008806589,-49.46151797
2.282,-0.008820962,-49.49531534
2.2835,-0.008835361,-49.52911611
2.285,-0.008849787,-49.5629203
2.2865,-0.00886424,-49.59672792
2.288,-0.008878718,-49.63053899
2.2895,-0.008893224,-49.66435352
2.291,-0.008907756,-49.69817151
2.2925,-0.008922314,-49.73199299
2.294,-0.0089369,-49.76581796
2.2955,-0.008951512,-49.79964644
2.297,-0.008966151,-49.83347843
2.2985,-0.008980817,-49.86731396
2.3,-0.008995509,-49.90115304
2.3015,-0.009010229,-49.93499567
2.303,-0.009024976,-49.96884188
2.3045,-0.009039749,-50.00269167
2.306,-0.00905455,-50.03654506
2.3075,-0.009069378,-50.07040206
2.309,-0.009084233,-50.10426269
2.3105,-0.009099115,-50.13812696
2.312,-0.009114025,-50.17199489
2.3135,-0.009128962,-50.20586648
2.315,-0.009143926,-50.23974176
2.3165,-0.009158918,-50.27362074
2.318,-0.009173937,-50.30750343
2.3195,-0.009188984,-50.34138984
2.321,-0.009204058,-50.37528
2.3225,-0.00921916,-50.40917392
2.324,-0.009234289,-50.44307161
2.3255,-0.009249446,-50.47697308
2.327,-0.009264631,-50.51087837
2.3285,-0.009279844,-50.54478747
2.33,-0.009295084,-50.57870041
2.3315,-0.009310353,-50.6126172
2.333,-0.009325649,-50.64653786
2.3345,-0.009340974,-50.68046241
2.336,-0.009356326,-50.71439086
2.3375,-0.009371707,-50.74832322
2.339,-0.009387115,-50.78225953
2.3405,-0.009402552,-50.81619978
2.342,-0.009418017,-50.85014401
2.3435,-0.009433511,-50.88409223
2.345,-0.009449033,-50.91804445
2.3465,-0.009464583,-50.9520007
2.348,-0.009480162,-50.98596099
2.3495,-0.009495769,-51.01992534
2.351,-0.009511404,-51.05389377
2.3525,-0.009527069,-51.0878663
2.354,-0.009542762,-51.12184295
2.3555,-0.009558484,-51.15582374
2.357,-0.009574234,-51.18980868
2.3585,-0.009590014,-51.2237978
2.36,-0.009605822,-51.25779112
2.3615,-0.009621659,-51.29178865
2.363,-0.009637525,-51.32579043
2.3645,-0.009653421,-51.35979646
2.366,-0.009669345,-51.39380677
2.3675,-0.009685298,-51.42782138
2.369,-0.009701281,-51.46184031
2.3705,-0.009717293,-51.49586359
2.372,-0.009733334,-51.52989124
2.3735,-0.009749405,-51.56392327
2.375,-0.009765505,-51.59795971
2.3765,-0.009781635,-51.63200059
2.378,-0.009797794,-51.66604592
2.3795,-0.009813983,-51.70009574
2.381,-0.009830202,-51.73415006
2.3825,-0.00984645,-51.7682089
2.384,-0.009862728,-51.8022723
2.3855,-0.009879036,-51.83634028
2.387,-0.009895373,-51.87041286
2.3885,-0.009911741,-51.90449006
2.39,-0.009928139,-51.93857192
2.3915,-0.009944567,-51.97265846
2.393,-0.009961025,-52.0067497
2.3945,-0.009977513,-52.04084567
2.396,-0.009994032,-52.0749464
2.3975,-0.01001058,-52.10905191
2.399,-0.01002716,-52.14316224
2.4005,-0.010043769,-52.17727741
2.402,-0.01006041,-52.21139745
2.4035,-0.010077081,-52.24552239
2.405,-0.010093782,-52.27965225
2.4065,-0.010110514,-52.31378707
2.408,-0.010127277,-52.34792688
2.4095,-0.010144071,-52.3820717
2.411,-0.010160896,-52.41622157
2.4125,-0.010177752,-52.45037652
2.414,-0.010194639,-52.48453658
2.4155,-0.010211557,-52.51870178
2.417,-0.010228506,-52.55287215
2.4185,-0.010245486,-52.58704773
2.42,-0.010262498,-52.62122855
2.4215,-0.010279541,-52.65541465
2.423,-0.010296616,-52.68960605
2.4245,-0.010313722,-52.72380279
2.426,-0.01033086,-52.75800491
2.4275,-0.010348029,-52.79221245
2.429,-0.01036523,-52.82642543
2.4305,-0.010382463,-52.8606439
2.432,-0.010399728,-52.89486789
2.4335,-0.010417025,-52.92909745
2.435,-0.010434354,-52.9633326
2.4365,-0.010451716,-52.99757339
2.438,-0.010469109,-53.03181986
2.4395,-0.010486535,-53.06607204
2.441,-0.010503993,-53.10032998
2.4425,-0.010521483,-53.13459372
2.444,-0.010539006,-53.1688633
2.4455,-0.010556562,-53.20313877
2.447,-0.01057415,-53.23742016
2.4485,-0.010591771,-53.27170751
2.45,-0.010609425,-53.30600089
2.4515,-0.010627112,-53.34030032
2.453,-0.010644832,-53.37460585
2.4545,-0.010662585,-53.40891753
2.456,-0.010680371,-53.44323542
2.4575,-0.01069819,-53.47755954
2.459,-0.010716043,-53.51188996
2.4605,-0.010733929,-53.54622673
2.462,-0.010751849,-53.58056988
2.4635,-0.010769802,-53.61491948
2.465,-0.01078779,-53.64927557
2.4665,-0.010805811,-53.68363821
2.468,-0.010823866,-53.71800746
2.4695,-0.010841954,-53.75238335
2.471,-0.010860077,-53.78676596
2.4725,-0.010878235,-53.82115533
2.474,-0.010896426,-53.85555152
2.4755,-0.010914652,-53.88995459
2.477,-0.010932913,-53.9243646
