"dis [mm]","Freq [GHz]","dB(S(1,1)) []","ang_deg(S(1,1)) [deg]"
-10,2.7,-0.00927459218016296,-101.658548169155
-10,2.7005,-0.00927626557598356,-101.677466315909
-10,2.701,-0.00927793911087456,-101.6963844978
-10,2.7015,-0.00927961278480709,-101.71530271482
-10,2.702,-0.00928128659774552,-101.734220966962
-10,2.7025,-0.00928296054965516,-101.753139254218
-10,2.703,-0.00928463464050232,-101.772057576578
-10,2.7035,-0.00928630887025908,-101.790975934036
-10,2.704,-0.00928798323889076,-101.809894326583
-10,2.7045,-0.0092896577463569,-101.828812754211
-10,2.705,-0.00929133239263441,-101.847731216912
-10,2.7055,-0.00929300717768477,-101.866649714678
-10,2.706,-0.00929468210147522,-101.8855682475
-10,2.7065,-0.00929635716397205,-101.904486815372
-10,2.707,-0.00929803236514446,-101.923405418284
-10,2.7075,-0.00929970770495488,-101.942324056229
-10,2.708,-0.00930138318337347,-101.961242729198
-10,2.7085,-0.00930305880036168,-101.980161437183
-10,2.709,-0.00930473455588967,-101.999080180177
-10,2.7095,-0.00930641044992567,-102.017998958171
-10,2.71,-0.00930808648243017,-102.036917771157
-10,2.7105,-0.00930976265337526,-102.055836619126
-10,2.711,-0.00931143896272144,-102.074755502072
-10,2.7115,-0.00931311541043887,-102.093674419984
-10,2.712,-0.00931479199649287,-102.112593372856
-10,2.7125,-0.0093164687208478,-102.13151236068
-10,2.713,-0.00931814558346995,-102.150431383446
-10,2.7135,-0.00931982258432756,-102.169350441147
-10,2.714,-0.00932149972338014,-102.188269533775
-10,2.7145,-0.00932317700060173,-102.207188661321
-10,2.715,-0.00932485441595474,-102.226107823778
-10,2.7155,-0.00932653196940064,-102.245027021137
-10,2.716,-0.0093282096609096,-102.263946253389
-10,2.7165,-0.00932988749044789,-102.282865520527
-10,2.717,-0.00933156545797796,-102.301784822543
-10,2.7175,-0.00933324356346512,-102.320704159428
-10,2.718,-0.0093349218068776,-102.339623531174
-10,2.7185,-0.00933660018818073,-102.358542937773
-10,2.719,-0.00933827870733404,-102.377462379216
-10,2.7195,-0.00933995736430962,-102.396381855495
-10,2.72,-0.00934163615906797,-102.415301366603
-10,2.7205,-0.00934331509157923,-102.43422091253
-10,2.721,-0.00934499416180102,-102.453140493269
-10,2.7215,-0.00934667336970637,-102.472060108811
-10,2.722,-0.00934835271525484,-102.490979759148
-10,2.7225,-0.00935003219841271,-102.509899444272
-10,2.723,-0.00935171181914433,-102.528819164174
-10,2.7235,-0.00935339157741697,-102.547738918846
-10,2.724,-0.00935507147319307,-102.56665870828
-10,2.7245,-0.009356751506436,-102.585578532467
-10,2.725,-0.00935843167711497,-102.604498391399
-10,2.7255,-0.00936011198519047,-102.623418285069
-10,2.726,-0.00936179243062879,-102.642338213467
-10,2.7265,-0.00936347301339429,-102.661258176585
-10,2.727,-0.00936515373345038,-102.680178174415
